Rank,Name,Position,Team,Check Box1,Check Box2,Height,Weight,Year,Age,Points,Rebounds,Assists,Blocks,Steals
46,Abdoulaye N'Doye,PG , Cholet,No,Yes,"6'6""",205 lbs,International,22.6 yrs,11.9,5,4.6,0.4,1.4
47,Cassius Winston,PG , Michigan State,Yes,No,"6'1""",185 lbs,Senior,22.6 yrs,20.5,2.8,6.5,0,1.3
48,Udoka Azubuike,C , Kansas,Yes,No,"7'0""",274 lbs,Senior,21.0 yrs,17.9,13.6,1.2,3.4,0.6
49,Payton Pritchard,PG , Oregon,Yes,No,"6'2""",190 lbs,Senior,22.7 yrs,20.1,4.3,5.5,0,1.5
50,Robert Woodard II,SF , Mississippi State,Yes,No,"6'7""",230 lbs,Sophomore,21.0 yrs,12.4,7.1,1.4,1.1,1.2
51,Isaiah Joe,SG , Arkansas,Yes,No,"6'5""",180 lbs,Sophomore,21.2 yrs,16.8,4.1,1.7,0.3,1.4
52,Grant Riller,PG/SG , Charleston,Yes,No,"6'3""",190 lbs,Senior,23.6 yrs,23.5,5.5,4.2,0.3,1.7
53,Ashton Hagans,PG , Kentucky,Yes,No,"6'3""",198 lbs,Sophomore,21.2 yrs,12.5,4.2,6.9,0.2,2.1
54,Skylar Mays,SG , LSU,Yes,No,"6'4""",205 lbs,Senior,22.9 yrs,17.4,5.3,3.4,0.2,1.9
55,Sam Merrill,SG , Utah State,Yes,No,"6'5""",205 lbs,Senior,24.4 yrs,20.2,4.2,4,0.1,0.9
56,Kaleb Wesson,C , Ohio State,Yes,No,"6'9""",270 lbs,Junior,21.2 yrs,17.1,11.3,2.4,1.2,0.9
57,Yam Madar,PG , Hapoel Tel Aviv,No,Yes,"6'3""",180 lbs,International,19.8 yrs,20.7,2.2,8.7,1.1,1.1
58,Kenyon Martin Jr.,SF , IMG Academy,No,Yes,"6'6""",215 lbs,HS Postgrad,19.7 yrs,,,,,
59,Paul Eboua,PF , VL Pesaro,No,Yes,"6'8""",223 lbs,International,20.6 yrs,12.3,8.8,1.4,1.2,1.1
60,Tres Tinkle,SF , Oregon State,Yes,No,"6'7""",225 lbs,Senior,24.3 yrs,19.2,7.1,3.3,0.5,1.8
61,Nick Richards,C , Kentucky,Yes,No,"6'11""",247 lbs,Junior,22.8 yrs,17,9.4,0.3,2.6,0.1
62,Myles Powell,PG , Seton Hall,Yes,No,"6'2""",195 lbs,Senior,23.2 yrs,24,4.9,3.3,0.2,1.4
63,Trevelin Queen,SG , New Mexico State,Yes,No,"6'6""",190 lbs,Senior,23.6 yrs,17.3,6.8,3.2,0.4,2.3
64,Jay Scrubb,SG , John A. Logan,Yes,No,"6'6""",200 lbs,Freshman,20.1 yrs,,,,,
65,Anfernee McLemore,PF , Auburn,Yes,No,"6'7""",220 lbs,Senior,22.3 yrs,12.1,7.8,0.7,1.9,1.3
